Year,Award,Winner,Name,Film
2000,ACTRESS IN A LEADING ROLE,1,JULIA ROBERTS,ERIN BROCKOVICH
1990,ACTRESS IN A LEADING ROLE,0,JULIA ROBERTS,PRETTY WOMAN
1989,ACTRESS IN A SUPPORTING ROLE,0,JULIA ROBERTS,STEEL MAGNOLIAS
2014,ACTRESS IN A LEADING ROLE,1,JULIANNE MOORE,STILL ALICE
2002,ACTRESS IN A SUPPORTING ROLE,0,JULIANNE MOORE,THE HOURS
2002,ACTRESS IN A LEADING ROLE,0,JULIANNE MOORE,FAR FROM HEAVEN
1999,ACTRESS IN A LEADING ROLE,0,JULIANNE MOORE,THE END OF THE AFFAIR
1997,ACTRESS IN A SUPPORTING ROLE,0,JULIANNE MOORE,BOOGIE NIGHTS
1982,ACTRESS IN A LEADING ROLE,0,JULIE ANDREWS,VICTOR/VICTORIA
1965,ACTRESS IN A LEADING ROLE,0,JULIE ANDREWS,THE SOUND OF MUSIC
1964,ACTRESS IN A LEADING ROLE,1,JULIE ANDREWS,MARY POPPINS
2007,ACTRESS IN A LEADING ROLE,0,JULIE CHRISTIE,AWAY FROM HER
1997,ACTRESS IN A LEADING ROLE,0,JULIE CHRISTIE,AFTERGLOW
1971,ACTRESS IN A LEADING ROLE,0,JULIE CHRISTIE,MCCABE & MRS. MILLER
1965,ACTRESS IN A LEADING ROLE,1,JULIE CHRISTIE,DARLING
1952,ACTRESS IN A LEADING ROLE,0,JULIE HARRIS,THE MEMBER OF THE WEDDING
2000,ACTRESS IN A SUPPORTING ROLE,0,JULIE WALTERS,BILLY ELLIOT
1983,ACTRESS IN A LEADING ROLE,0,JULIE WALTERS,EDUCATING RITA
2000,ACTRESS IN A LEADING ROLE,0,JULIETTE BINOCHE,CHOCOLAT
1996,ACTRESS IN A SUPPORTING ROLE,1,JULIETTE BINOCHE,THE ENGLISH PATIENT
1991,ACTRESS IN A SUPPORTING ROLE,0,JULIETTE LEWIS,CAPE FEAR
2013,ACTRESS IN A SUPPORTING ROLE,0,JUNE SQUIBB,NEBRASKA
1979,ACTOR IN A SUPPORTING ROLE,0,JUSTIN HENRY,KRAMER VS. KRAMER
1970,ACTRESS IN A SUPPORTING ROLE,0,KAREN BLACK,FIVE EASY PIECES
1954,ACTOR IN A SUPPORTING ROLE,0,KARL MALDEN,ON THE WATERFRONT
1951,ACTOR IN A SUPPORTING ROLE,1,KARL MALDEN,A STREETCAR NAMED DESIRE
2000,ACTRESS IN A SUPPORTING ROLE,0,KATE HUDSON,ALMOST FAMOUS
1991,ACTRESS IN A SUPPORTING ROLE,0,KATE NELLIGAN,THE PRINCE OF TIDES
2015,ACTRESS IN A SUPPORTING ROLE,0,KATE WINSLET,STEVE JOBS
2008,ACTRESS IN A LEADING ROLE,1,KATE WINSLET,THE READER
2006,ACTRESS IN A LEADING ROLE,0,KATE WINSLET,LITTLE CHILDREN
2004,ACTRESS IN A LEADING ROLE,0,KATE WINSLET,ETERNAL SUNSHINE OF THE SPOTLESS MIND
2001,ACTRESS IN A SUPPORTING ROLE,0,KATE WINSLET,IRIS
1997,ACTRESS IN A LEADING ROLE,0,KATE WINSLET,TITANIC
1995,ACTRESS IN A SUPPORTING ROLE,0,KATE WINSLET,SENSE AND SENSIBILITY
1981,ACTRESS IN A LEADING ROLE,1,KATHARINE HEPBURN,ON GOLDEN POND
1968,ACTRESS IN A LEADING ROLE,1,KATHARINE HEPBURN,THE LION IN WINTER
1967,ACTRESS IN A LEADING ROLE,1,KATHARINE HEPBURN,GUESS WHO'S COMING TO DINNER
1962,ACTRESS IN A LEADING ROLE,0,KATHARINE HEPBURN,LONG DAY'S JOURNEY INTO NIGHT
1959,ACTRESS IN A LEADING ROLE,0,KATHARINE HEPBURN,"SUDDENLY, LAST SUMMER"
1956,ACTRESS IN A LEADING ROLE,0,KATHARINE HEPBURN,THE RAINMAKER
1955,ACTRESS IN A LEADING ROLE,0,KATHARINE HEPBURN,SUMMERTIME
1951,ACTRESS IN A LEADING ROLE,0,KATHARINE HEPBURN,THE AFRICAN QUEEN
1942,ACTRESS IN A LEADING ROLE,0,KATHARINE HEPBURN,WOMAN OF THE YEAR
1940,ACTRESS IN A LEADING ROLE,0,KATHARINE HEPBURN,THE PHILADELPHIA STORY
1935,ACTRESS IN A LEADING ROLE,0,KATHARINE HEPBURN,ALICE ADAMS
1933,ACTRESS IN A LEADING ROLE,1,KATHARINE HEPBURN,MORNING GLORY
1967,ACTRESS IN A SUPPORTING ROLE,0,KATHARINE ROSS,THE GRADUATE
1995,ACTRESS IN A SUPPORTING ROLE,0,KATHLEEN QUINLAN,APOLLO 13
1986,ACTRESS IN A LEADING ROLE,0,KATHLEEN TURNER,PEGGY SUE GOT MARRIED
2002,ACTRESS IN A SUPPORTING ROLE,0,KATHY BATES,ABOUT SCHMIDT
1998,ACTRESS IN A SUPPORTING ROLE,0,KATHY BATES,PRIMARY COLORS
1990,ACTRESS IN A LEADING ROLE,1,KATHY BATES,MISERY
1943,ACTRESS IN A SUPPORTING ROLE,1,KATINA PAXINOU,FOR WHOM THE BELL TOLLS
1954,ACTRESS IN A SUPPORTING ROLE,0,KATY JURADO,BROKEN LANCE
1968,ACTRESS IN A SUPPORTING ROLE,0,KAY MEDFORD,FUNNY GIRL
2014,ACTRESS IN A SUPPORTING ROLE,0,KEIRA KNIGHTLEY,THE IMITATION GAME
2005,ACTRESS IN A LEADING ROLE,0,KEIRA KNIGHTLEY,PRIDE & PREJUDICE
2003,ACTRESS IN A LEADING ROLE,0,KEISHA CASTLE-HUGHES,WHALE RIDER
2003,ACTOR IN A SUPPORTING ROLE,0,KEN WATANABE,THE LAST SAMURAI
2011,ACTOR IN A SUPPORTING ROLE,0,KENNETH BRANAGH,MY WEEK WITH MARILYN
1989,ACTOR IN A LEADING ROLE,0,KENNETH BRANAGH,HENRY V
1990,ACTOR IN A LEADING ROLE,0,KEVIN COSTNER,DANCES WITH WOLVES
1988,ACTOR IN A SUPPORTING ROLE,1,KEVIN KLINE,A FISH CALLED WANDA
1951,ACTOR IN A SUPPORTING ROLE,0,KEVIN MCCARTHY,DEATH OF A SALESMAN
1999,ACTOR IN A LEADING ROLE,1,KEVIN SPACEY,AMERICAN BEAUTY
1995,ACTOR IN A SUPPORTING ROLE,1,KEVIN SPACEY,THE USUAL SUSPECTS
1997,ACTRESS IN A SUPPORTING ROLE,1,KIM BASINGER,L.A. CONFIDENTIAL
1951,ACTRESS IN A SUPPORTING ROLE,1,KIM HUNTER,A STREETCAR NAMED DESIRE
1982,ACTRESS IN A SUPPORTING ROLE,0,KIM STANLEY,FRANCES
1964,ACTRESS IN A LEADING ROLE,0,KIM STANLEY,SEANCE ON A WET AFTERNOON
1956,ACTOR IN A LEADING ROLE,0,KIRK DOUGLAS,LUST FOR LIFE
1952,ACTOR IN A LEADING ROLE,0,KIRK DOUGLAS,THE BAD AND THE BEAUTIFUL
1949,ACTOR IN A LEADING ROLE,0,KIRK DOUGLAS,CHAMPION
1985,ACTOR IN A SUPPORTING ROLE,0,KLAUS MARIA BRANDAUER,OUT OF AFRICA
1996,ACTRESS IN A LEADING ROLE,0,KRISTIN SCOTT THOMAS,THE ENGLISH PATIENT
1957,ACTRESS IN A LEADING ROLE,0,LANA TURNER,PEYTON PLACE
1946,ACTOR IN A LEADING ROLE,0,LARRY PARKS,THE JOLSON STORY
2014,ACTRESS IN A SUPPORTING ROLE,0,LAURA DERN,WILD
1991,ACTRESS IN A LEADING ROLE,0,LAURA DERN,RAMBLING ROSE
2007,ACTRESS IN A LEADING ROLE,0,LAURA LINNEY,THE SAVAGES
2004,ACTRESS IN A SUPPORTING ROLE,0,LAURA LINNEY,KINSEY
2000,ACTRESS IN A LEADING ROLE,0,LAURA LINNEY,YOU CAN COUNT ON ME
1996,ACTRESS IN A SUPPORTING ROLE,0,LAUREN BACALL,THE MIRROR HAS TWO FACES
1993,ACTOR IN A LEADING ROLE,0,LAURENCE FISHBURNE,WHAT'S LOVE GOT TO DO WITH IT
1959,ACTOR IN A LEADING ROLE,0,LAURENCE HARVEY,ROOM AT THE TOP
1978,ACTOR IN A LEADING ROLE,0,LAURENCE OLIVIER,THE BOYS FROM BRAZIL
1976,ACTOR IN A SUPPORTING ROLE,0,LAURENCE OLIVIER,MARATHON MAN
1972,ACTOR IN A LEADING ROLE,0,LAURENCE OLIVIER,SLEUTH
1965,ACTOR IN A LEADING ROLE,0,LAURENCE OLIVIER,OTHELLO
1960,ACTOR IN A LEADING ROLE,0,LAURENCE OLIVIER,THE ENTERTAINER
1948,ACTOR IN A LEADING ROLE,1,LAURENCE OLIVIER,HAMLET
1946,ACTOR IN A LEADING ROLE,0,LAURENCE OLIVIER,HENRY V
1940,ACTOR IN A LEADING ROLE,0,LAURENCE OLIVIER,REBECCA
1939,ACTOR IN A LEADING ROLE,0,LAURENCE OLIVIER,WUTHERING HEIGHTS
1930,ACTOR IN A LEADING ROLE,0,LAWRENCE TIBBETT,THE ROGUE SONG
1976,ACTRESS IN A SUPPORTING ROLE,0,LEE GRANT,VOYAGE OF THE DAMNED
1975,ACTRESS IN A SUPPORTING ROLE,1,LEE GRANT,SHAMPOO
1970,ACTRESS IN A SUPPORTING ROLE,0,LEE GRANT,THE LANDLORD
1951,ACTRESS IN A SUPPORTING ROLE,0,LEE GRANT,DETECTIVE STORY
1958,ACTOR IN A SUPPORTING ROLE,0,LEE J. COBB,THE BROTHERS KARAMAZOV
1954,ACTOR IN A SUPPORTING ROLE,0,LEE J. COBB,ON THE WATERFRONT
1965,ACTOR IN A LEADING ROLE,1,LEE MARVIN,CAT BALLOU
1962,ACTRESS IN A LEADING ROLE,0,LEE REMICK,DAYS OF WINE AND ROSES
1974,ACTOR IN A SUPPORTING ROLE,0,LEE STRASBERG,THE GODFATHER PART II
1964,ACTOR IN A SUPPORTING ROLE,0,LEE TRACY,THE BEST MAN
1989,ACTRESS IN A SUPPORTING ROLE,0,LENA OLIN,"ENEMIES, A LOVE STORY"
1951,ACTOR IN A SUPPORTING ROLE,0,LEO GENN,QUO VADIS
1971,ACTOR IN A SUPPORTING ROLE,0,LEONARD FREY,FIDDLER ON THE ROOF
2015,ACTOR IN A LEADING ROLE,1,LEONARDO DICAPRIO,THE REVENANT
2013,ACTOR IN A LEADING ROLE,0,LEONARDO DICAPRIO,THE WOLF OF WALL STREET
2006,ACTOR IN A LEADING ROLE,0,LEONARDO DICAPRIO,BLOOD DIAMOND
2004,ACTOR IN A LEADING ROLE,0,LEONARDO DICAPRIO,THE AVIATOR
1993,ACTOR IN A SUPPORTING ROLE,0,LEONARDO DICAPRIO,WHAT'S EATING GILBERT GRAPE
1982,ACTRESS IN A SUPPORTING ROLE,0,LESLEY ANN WARREN,VICTOR/VICTORIA
1977,ACTRESS IN A SUPPORTING ROLE,0,LESLIE BROWNE,THE TURNING POINT
1963,ACTRESS IN A LEADING ROLE,0,LESLIE CARON,THE L-SHAPED ROOM
1953,ACTRESS IN A LEADING ROLE,0,LESLIE CARON,LILI
1938,ACTOR IN A LEADING ROLE,0,LESLIE HOWARD,PYGMALION
1933,ACTOR IN A LEADING ROLE,0,LESLIE HOWARD,BERKELEY SQUARE
1948,ACTOR IN A LEADING ROLE,0,LEW AYRES,JOHNNY BELINDA
1929,ACTOR IN A LEADING ROLE,0,LEWIS STONE,THE PATRIOT
1993,ACTOR IN A LEADING ROLE,0,LIAM NEESON,SCHINDLER'S LIST
1964,ACTRESS IN A SUPPORTING ROLE,1,LILA KEDROVA,ZORBA THE GREEK
1963,ACTRESS IN A SUPPORTING ROLE,0,LILIA SKALA,LILIES OF THE FIELD
1946,ACTRESS IN A SUPPORTING ROLE,0,LILLIAN GISH,DUEL IN THE SUN
1975,ACTRESS IN A SUPPORTING ROLE,0,LILY TOMLIN,NASHVILLE
1973,ACTRESS IN A SUPPORTING ROLE,0,LINDA BLAIR,THE EXORCIST
1983,ACTRESS IN A SUPPORTING ROLE,1,LINDA HUNT,THE YEAR OF LIVING DANGEROUSLY
1984,ACTRESS IN A SUPPORTING ROLE,0,LINDSAY CROUSE,PLACES IN THE HEART
1931,ACTOR IN A LEADING ROLE,1,LIONEL BARRYMORE,A FREE SOUL
1976,ACTRESS IN A LEADING ROLE,0,LIV ULLMANN,FACE TO FACE
1972,ACTRESS IN A LEADING ROLE,0,LIV ULLMANN,THE EMIGRANTS
1972,ACTRESS IN A LEADING ROLE,1,LIZA MINNELLI,CABARET
1969,ACTRESS IN A LEADING ROLE,0,LIZA MINNELLI,THE STERILE CUCKOO
1949,ACTRESS IN A LEADING ROLE,0,LORETTA YOUNG,COME TO THE STABLE
1947,ACTRESS IN A LEADING ROLE,1,LORETTA YOUNG,THE FARMER'S DAUGHTER
1990,ACTRESS IN A SUPPORTING ROLE,0,LORRAINE BRACCO,GOOD FELLAS
1961,ACTRESS IN A SUPPORTING ROLE,0,LOTTE LENYA,THE ROMAN SPRING OF MRS. STONE
1950,ACTOR IN A LEADING ROLE,0,LOUIS CALHERN,THE MAGNIFICENT YANKEE
1928,ACTRESS IN A LEADING ROLE,0,LOUISE DRESSER,A SHIP COMES IN
1975,ACTRESS IN A LEADING ROLE,1,LOUISE FLETCHER,ONE FLEW OVER THE CUCKOO'S NEST
2016,ACTOR IN A SUPPORTING ROLE,0,LUCAS HEDGES,MANCHESTER BY THE SEA
1943,ACTRESS IN A SUPPORTING ROLE,0,LUCILE WATSON,WATCH ON THE RHINE
1937,ACTRESS IN A LEADING ROLE,1,LUISE RAINER,THE GOOD EARTH
1936,ACTRESS IN A LEADING ROLE,1,LUISE RAINER,THE GREAT ZIEGFELD
2013,ACTRESS IN A SUPPORTING ROLE,1,LUPITA NYONG'O,12 YEARS A SLAVE
1968,ACTRESS IN A SUPPORTING ROLE,0,LYNN CARLIN,FACES
1932,ACTRESS IN A LEADING ROLE,0,LYNN FONTANNE,THE GUARDSMAN
1998,ACTRESS IN A SUPPORTING ROLE,0,LYNN REDGRAVE,GODS AND MONSTERS
1966,ACTRESS IN A LEADING ROLE,0,LYNN REDGRAVE,GEORGY GIRL
1974,ACTRESS IN A SUPPORTING ROLE,0,MADELINE KAHN,BLAZING SADDLES
1973,ACTRESS IN A SUPPORTING ROLE,0,MADELINE KAHN,PAPER MOON
2009,ACTRESS IN A SUPPORTING ROLE,0,MAGGIE GYLLENHAAL,CRAZY HEART
1953,ACTRESS IN A LEADING ROLE,0,MAGGIE MCNAMARA,THE MOON IS BLUE
2001,ACTRESS IN A SUPPORTING ROLE,0,MAGGIE SMITH,GOSFORD PARK
1986,ACTRESS IN A SUPPORTING ROLE,0,MAGGIE SMITH,A ROOM WITH A VIEW
1978,ACTRESS IN A SUPPORTING ROLE,1,MAGGIE SMITH,CALIFORNIA SUITE
1972,ACTRESS IN A LEADING ROLE,0,MAGGIE SMITH,TRAVELS WITH MY AUNT
1969,ACTRESS IN A LEADING ROLE,1,MAGGIE SMITH,THE PRIME OF MISS JEAN BRODIE
1965,ACTRESS IN A SUPPORTING ROLE,0,MAGGIE SMITH,OTHELLO
2016,ACTOR IN A SUPPORTING ROLE,0,MAHERSHALA ALI,MOONLIGHT
1966,ACTOR IN A SUPPORTING ROLE,0,MAKO,THE SAND PEBBLES
1987,ACTOR IN A LEADING ROLE,0,MARCELLO MASTROIANNI,DARK EYES
1977,ACTOR IN A LEADING ROLE,0,MARCELLO MASTROIANNI,A SPECIAL DAY
1962,ACTOR IN A LEADING ROLE,0,MARCELLO MASTROIANNI,DIVORCE--ITALIAN STYLE
2003,ACTRESS IN A SUPPORTING ROLE,0,MARCIA GAY HARDEN,MYSTIC RIVER
2000,ACTRESS IN A SUPPORTING ROLE,1,MARCIA GAY HARDEN,POLLOCK
1995,ACTRESS IN A SUPPORTING ROLE,0,MARE WINNINGHAM,GEORGIA
1985,ACTRESS IN A SUPPORTING ROLE,0,MARGARET AVERY,THE COLOR PURPLE
1971,ACTRESS IN A SUPPORTING ROLE,0,MARGARET LEIGHTON,THE GO-BETWEEN
1963,ACTRESS IN A SUPPORTING ROLE,1,MARGARET RUTHERFORD,THE V.I.P.S
1938,ACTRESS IN A LEADING ROLE,0,MARGARET SULLAVAN,THREE COMRADES
1941,ACTRESS IN A SUPPORTING ROLE,0,MARGARET WYCHERLY,SERGEANT YORK
1939,ACTRESS IN A SUPPORTING ROLE,0,MARIA OUSPENSKAYA,LOVE AFFAIR
1936,ACTRESS IN A SUPPORTING ROLE,0,MARIA OUSPENSKAYA,DODSWORTH
1996,ACTRESS IN A SUPPORTING ROLE,0,MARIANNE JEAN-BAPTISTE,SECRETS & LIES
1932,ACTRESS IN A LEADING ROLE,0,MARIE DRESSLER,EMMA
1931,ACTRESS IN A LEADING ROLE,1,MARIE DRESSLER,MIN AND BILL
1976,ACTRESS IN A LEADING ROLE,0,MARIE-CHRISTINE BARRAULT,"COUSIN, COUSINE"
1979,ACTRESS IN A SUPPORTING ROLE,0,MARIEL HEMINGWAY,MANHATTAN
2014,ACTRESS IN A LEADING ROLE,0,MARION COTILLARD,"TWO DAYS, ONE NIGHT"
2007,ACTRESS IN A LEADING ROLE,1,MARION COTILLARD,LA VIE EN ROSE
1955,ACTRESS IN A SUPPORTING ROLE,0,MARISA PAVAN,THE ROSE TATTOO
2008,ACTRESS IN A SUPPORTING ROLE,0,MARISA TOMEI,THE WRESTLER
2001,ACTRESS IN A SUPPORTING ROLE,0,MARISA TOMEI,IN THE BEDROOM
1992,ACTRESS IN A SUPPORTING ROLE,1,MARISA TOMEI,MY COUSIN VINNY
1947,ACTRESS IN A SUPPORTING ROLE,0,MARJORIE MAIN,THE EGG AND I
1953,ACTRESS IN A SUPPORTING ROLE,0,MARJORIE RAMBEAU,TORCH SONG
1940,ACTRESS IN A SUPPORTING ROLE,0,MARJORIE RAMBEAU,PRIMROSE PATH
2015,ACTOR IN A SUPPORTING ROLE,0,MARK RUFFALO,SPOTLIGHT
2014,ACTOR IN A SUPPORTING ROLE,0,MARK RUFFALO,FOXCATCHER
2010,ACTOR IN A SUPPORTING ROLE,0,MARK RUFFALO,THE KIDS ARE ALL RIGHT
2015,ACTOR IN A SUPPORTING ROLE,1,MARK RYLANCE,BRIDGE OF SPIES
2006,ACTOR IN A SUPPORTING ROLE,0,MARK WAHLBERG,THE DEPARTED
1986,ACTRESS IN A LEADING ROLE,1,MARLEE MATLIN,CHILDREN OF A LESSER GOD
1931,ACTRESS IN A LEADING ROLE,0,MARLENE DIETRICH,MOROCCO
1989,ACTOR IN A SUPPORTING ROLE,0,MARLON BRANDO,A DRY WHITE SEASON
1973,ACTOR IN A LEADING ROLE,0,MARLON BRANDO,LAST TANGO IN PARIS
1972,ACTOR IN A LEADING ROLE,1,MARLON BRANDO,THE GODFATHER
1957,ACTOR IN A LEADING ROLE,0,MARLON BRANDO,SAYONARA
1954,ACTOR IN A LEADING ROLE,1,MARLON BRANDO,ON THE WATERFRONT
1953,ACTOR IN A LEADING ROLE,0,MARLON BRANDO,JULIUS CAESAR
1952,ACTOR IN A LEADING ROLE,0,MARLON BRANDO,VIVA ZAPATA!
1951,ACTOR IN A LEADING ROLE,0,MARLON BRANDO,A STREETCAR NAMED DESIRE
1981,ACTRESS IN A LEADING ROLE,0,MARSHA MASON,ONLY WHEN I LAUGH
1979,ACTRESS IN A LEADING ROLE,0,MARSHA MASON,CHAPTER TWO
1977,ACTRESS IN A LEADING ROLE,0,MARSHA MASON,THE GOODBYE GIRL
1973,ACTRESS IN A LEADING ROLE,0,MARSHA MASON,CINDERELLA LIBERTY
1958,ACTRESS IN A SUPPORTING ROLE,0,MARTHA HYER,SOME CAME RUNNING
1940,ACTRESS IN A LEADING ROLE,0,MARTHA SCOTT,OUR TOWN
1965,ACTOR IN A SUPPORTING ROLE,1,MARTIN BALSAM,A THOUSAND CLOWNS
1994,ACTOR IN A SUPPORTING ROLE,1,MARTIN LANDAU,ED WOOD
1989,ACTOR IN A SUPPORTING ROLE,0,MARTIN LANDAU,CRIMES AND MISDEMEANORS
1988,ACTOR IN A SUPPORTING ROLE,0,MARTIN LANDAU,TUCKER THE MAN AND HIS DREAM
1941,ACTRESS IN A SUPPORTING ROLE,1,MARY ASTOR,THE GREAT LIE
1962,ACTRESS IN A SUPPORTING ROLE,0,MARY BADHAM,TO KILL A MOCKINGBIRD
1986,ACTRESS IN A SUPPORTING ROLE,0,MARY ELIZABETH MASTRANTONIO,THE COLOR OF MONEY
1992,ACTRESS IN A LEADING ROLE,0,MARY MCDONNELL,PASSION FISH
1990,ACTRESS IN A SUPPORTING ROLE,0,MARY MCDONNELL,DANCES WITH WOLVES
1929,ACTRESS IN A LEADING ROLE,1,MARY PICKFORD,COQUETTE
1980,ACTRESS IN A SUPPORTING ROLE,1,MARY STEENBURGEN,MELVIN AND HOWARD
1980,ACTRESS IN A LEADING ROLE,0,MARY TYLER MOORE,ORDINARY PEOPLE
1960,ACTRESS IN A SUPPORTING ROLE,0,MARY URE,SONS AND LOVERS
1995,ACTOR IN A LEADING ROLE,0,MASSIMO TROISI,THE POSTMAN (IL POSTINO)
2015,ACTOR IN A LEADING ROLE,0,MATT DAMON,THE MARTIAN
2009,ACTOR IN A SUPPORTING ROLE,0,MATT DAMON,INVICTUS
1997,ACTOR IN A LEADING ROLE,0,MATT DAMON,GOOD WILL HUNTING
2005,ACTOR IN A SUPPORTING ROLE,0,MATT DILLON,CRASH
2013,ACTOR IN A LEADING ROLE,1,MATTHEW MCCONAUGHEY,DALLAS BUYERS CLUB
1981,ACTRESS IN A SUPPORTING ROLE,1,MAUREEN STAPLETON,REDS
1978,ACTRESS IN A SUPPORTING ROLE,0,MAUREEN STAPLETON,INTERIORS
1970,ACTRESS IN A SUPPORTING ROLE,0,MAUREEN STAPLETON,AIRPORT
1958,ACTRESS IN A SUPPORTING ROLE,0,MAUREEN STAPLETON,LONELYHEARTS
1930,ACTOR IN A LEADING ROLE,0,MAURICE CHEVALIER,THE BIG POND
2011,ACTOR IN A SUPPORTING ROLE,0,MAX VON SYDOW,EXTREMELY LOUD & INCREDIBLY CLOSE
1988,ACTOR IN A LEADING ROLE,0,MAX VON SYDOW,PELLE THE CONQUEROR
1977,ACTOR IN A SUPPORTING ROLE,0,MAXIMILIAN SCHELL,JULIA
1975,ACTOR IN A LEADING ROLE,0,MAXIMILIAN SCHELL,THE MAN IN THE GLASS BOOTH
1961,ACTOR IN A LEADING ROLE,1,MAXIMILIAN SCHELL,JUDGMENT AT NUREMBERG
1933,ACTRESS IN A LEADING ROLE,0,MAY ROBSON,LADY FOR A DAY
1985,ACTRESS IN A SUPPORTING ROLE,0,MEG TILLY,AGNES OF GOD
1988,ACTRESS IN A LEADING ROLE,0,MELANIE GRIFFITH,WORKING GIRL
1960,ACTRESS IN A LEADING ROLE,0,MELINA MERCOURI,NEVER ON SUNDAY
1981,ACTRESS IN A SUPPORTING ROLE,0,MELINDA DILLON,ABSENCE OF MALICE
1977,ACTRESS IN A SUPPORTING ROLE,0,MELINDA DILLON,CLOSE ENCOUNTERS OF THE THIRD KIND
2010,ACTRESS IN A SUPPORTING ROLE,1,MELISSA LEO,THE FIGHTER
2008,ACTRESS IN A LEADING ROLE,0,MELISSA LEO,FROZEN RIVER
2011,ACTRESS IN A SUPPORTING ROLE,0,MELISSA MCCARTHY,BRIDESMAIDS
1979,ACTOR IN A SUPPORTING ROLE,1,MELVYN DOUGLAS,BEING THERE
1970,ACTOR IN A LEADING ROLE,0,MELVYN DOUGLAS,I NEVER SANG FOR MY FATHER
1963,ACTOR IN A SUPPORTING ROLE,1,MELVYN DOUGLAS,HUD
1956,ACTRESS IN A SUPPORTING ROLE,0,MERCEDES MCCAMBRIDGE,GIANT
1949,ACTRESS IN A SUPPORTING ROLE,1,MERCEDES MCCAMBRIDGE,ALL THE KING'S MEN
1991,ACTRESS IN A SUPPORTING ROLE,1,MERCEDES RUEHL,THE FISHER KING
1935,ACTRESS IN A LEADING ROLE,0,MERLE OBERON,THE DARK ANGEL
2016,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,FLORENCE FOSTER JENKINS
2014,ACTRESS IN A SUPPORTING ROLE,0,MERYL STREEP,INTO THE WOODS
2013,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,AUGUST: OSAGE COUNTY
2011,ACTRESS IN A LEADING ROLE,1,MERYL STREEP,THE IRON LADY
2009,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,JULIE & JULIA
2008,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,DOUBT
2006,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,THE DEVIL WEARS PRADA
2002,ACTRESS IN A SUPPORTING ROLE,0,MERYL STREEP,ADAPTATION
1999,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,MUSIC OF THE HEART
1998,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,ONE TRUE THING
1995,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,THE BRIDGES OF MADISON COUNTY
1990,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,POSTCARDS FROM THE EDGE
1988,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,A CRY IN THE DARK
1987,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,IRONWEED
1985,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,OUT OF AFRICA
1983,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,SILKWOOD
1982,ACTRESS IN A LEADING ROLE,1,MERYL STREEP,SOPHIE'S CHOICE
1981,ACTRESS IN A LEADING ROLE,0,MERYL STREEP,THE FRENCH LIEUTENANT'S WOMAN
1979,ACTRESS IN A SUPPORTING ROLE,1,MERYL STREEP,KRAMER VS. KRAMER
1978,ACTRESS IN A SUPPORTING ROLE,0,MERYL STREEP,THE DEER HUNTER
2002,ACTOR IN A LEADING ROLE,0,MICHAEL CAINE,THE QUIET AMERICAN
1999,ACTOR IN A SUPPORTING ROLE,1,MICHAEL CAINE,THE CIDER HOUSE RULES
1986,ACTOR IN A SUPPORTING ROLE,1,MICHAEL CAINE,HANNAH AND HER SISTERS
1983,ACTOR IN A LEADING ROLE,0,MICHAEL CAINE,EDUCATING RITA
1972,ACTOR IN A LEADING ROLE,0,MICHAEL CAINE,SLEUTH
1966,ACTOR IN A LEADING ROLE,0,MICHAEL CAINE,ALFIE
1945,ACTOR IN A SUPPORTING ROLE,0,MICHAEL CHEKHOV,SPELLBOUND
1999,ACTOR IN A SUPPORTING ROLE,0,MICHAEL CLARKE DUNCAN,THE GREEN MILE
1987,ACTOR IN A LEADING ROLE,1,MICHAEL DOUGLAS,WALL STREET
1965,ACTOR IN A SUPPORTING ROLE,0,MICHAEL DUNN,SHIP OF FOOLS
2015,ACTOR IN A LEADING ROLE,0,MICHAEL FASSBENDER,STEVE JOBS
